,,Item Classification,,,,Attribute Classification,,,,,,Connection with Alliance companies validation items,,,Structure of Evaluation item (Japanese),,,,,,,,,,Structure of Evaluation item (English),,,,,,,,,,Application,,,Deployment,,,,,,,,Achievement,,,,,,,,Digital Phase Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical Phase Confirmation,,,,,,,,,,,,,,,,,Physical Phase Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,TAIWAN,TAIWAN,TAIWAN,TAIWAN,,
,,,,,,,,,,,,,,,Performance Targets,,Vehicle Targets,,,Component Targets,,,,,Performance Targets,,Vehicle Targets,,,Component Targets,,,,,Development pattern,,,Section name,,Person in charge,,,,,,Section name,,Person in charge,,,,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical Confirmation,,,,,,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engine,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section name,,Person in charge,,,,DPFC,,,,,,,DS,,,,,,,DC,,,,,,,Section name,,Person in charge,,,,PFC,,,,,,,,,,,Section name,,Person in charge,,,,VC,,,,,,,,,,PT1,,,,,,,,,,PT2,,,,,,,,,,,Gearbox,ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),,
,MSTR-003-0082700-d0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0082700-d0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,
,MSTR-003-0082700-d0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,1,,,,,,,,,,
,MSTR-003-0082700-d0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,,,
,MSTR-003-0082700-d0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0082800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,MSTR-003-0082800-d0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,,,,,
,MSTR-003-0082800-d00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,
,MSTR-003-0082800-d0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,1,,,,,,,,,,
,MSTR-003-0082800-d0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,1,*,,,1,,*,,,,,,,,,*,,*,,,
,MSTR-003-0082800-d0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0082800-d0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,1,,*,,,,,,
,MSTR-003-0082800-d0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,,,
,MSTR-003-0082800-d0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0082900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,1,,*,,,,,,,,,,,,1,,*,*,,,
,MSTR-003-0082900-d0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,1,,,*,,,,,,,,,,,,,,,,,,
,MSTR-003-0082900-d0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,,,
,MSTR-003-0082900-d0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,1,,,,,,,,,,
,MSTR-003-0082900-d0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0082900-d0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,1,,*,,,,,,,
,MSTR-003-0082900-d0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,,,
,MSTR-003-0082900-d0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0083000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,
,MSTR-003-0083000-d0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,1,,*,,,,,,,,,1,,*,,,*,*,,,
,MSTR-003-0083000-d0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,,,
,MSTR-003-0083000-d0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,*,,,,,,,,,,*,,*,,
,MSTR-003-0083000-d0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0083000-d0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,*,,,,,1,,*,,,,,,,
,MSTR-003-0083000-d0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,1,,,,,,,,,,
,MSTR-003-0083000-d0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0083100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,,,,,
,MSTR-003-0083100-d0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,*,,,,,,,,,,,,1,,,*,,*,,
,MSTR-003-0083100-d00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,
,MSTR-003-0083100-d0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,1,,,,,,,,,,
,MSTR-003-0083100-d0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,*,,,,,,,,,*,,,,,,
,MSTR-003-0083100-d0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,*,,,1,,*,,,,,,,,,,
,MSTR-003-0083100-d0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,,"axle: 2wd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,1,,*,,,,,,,
,MSTR-003-0083100-d0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,,,
,MSTR-003-0083200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ2.xlsx,,,,,,YES,,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,*,,,,,,
,MSTR-003-0083200-d0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,,,,,,*,,,*,,*,,
,MSTR-003-0083200-d00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: awd, サンルーフ: w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,*,,,,,,,*,*,,,,,,
,MSTR-003-0083200-d0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_B(操安台上)_XQ3.xlsx,,,,,,YES,,,,,,,,,"axle: 2wd, サンルーフ: w/o",,,,,,,,,,,,,,,,,,,,,,,1,,*,,,,,*,,,,,,,,,*,,*,,,
